ELSI Export

National Center for Education Statistics - http://nces.ed.gov/ccd/elsi/

This is a District based table with the following filters applied: State(s) (All Years): All 50 + DC and outlying territories

Agency Name,State Name [District] Latest available year,State Abbr [District] Latest available year,Agency ID - NCES Assigned [District] Latest available year,Agency Type [District] 2020-21,Total Students All Grades (Excludes AE) [District] 2020-21,Full-Time Equivalent (FTE) Teachers [District] 2020-21,Total Revenue (TOTALREV) [District Finance] 2020-21,Total Revenue - Local Sources (TLOCREV) [District Finance] 2020-21,Total Revenue - State Sources (TSTREV) [District Finance] 2020-21,Total Revenue - Federal Sources (TFEDREV) [District Finance] 2020-21,Total Expenditures (TOTALEXP) [District Finance] 2020-21
ADVANCED MATH AND SCIENCE ACADEMY CHARTER (DISTRICT),Massachusetts,MA ,2500085,7-Independent Charter District,966,79.43,16025000,15366000,93000,566000,17017000
ADVANCED TECHNOLOGY ACADEMY,Michigan,MI ,2600255,7-Independent Charter District,1260,74.08,14565000,793000,11489000,2283000,12976000
ADVANTAGE ACADEMY,Texas,TX ,4800041,7-Independent Charter District,1207,57.30,14946000,250000,13361000,1335000,10153000
ADVANTAGE ARTS ACADEMY,UTAH,UT ,4900198,7-Independent Charter District,326,–,2947000,29000,2705000,213000,15942000
ADVANTAGE CHARTER ACADEMY,LOUISIANA,LA ,2200268,7-Independent Charter District,527,25.65,8138000,3957000,2964000,1217000,8043000
AEA 13 GREEN HILLS AEA,Iowa,IA ,1999013,4-Regional Education Service Agency (RESA),†,22.75,13788000,1686000,2818000,9284000,29808000
AECI II:  NYC CHARTER HS,NEW YORK,NY ,3601195,7-Independent Charter District,211,20.00,0,0,0,0,4690000
AEROSTEM ACADEMY DISTRICT,CALIFORNIA,CA ,0601724,7-Independent Charter District,139,6.20,1771000,352000,1186000,233000,1441000
AFFTON 101,Missouri,MO ,2902910,1-Regular local school district that is NOT a component of a supervisory union,2504,171.75,39901000,33258000,4922000,1721000,35170000
AFSA HIGH SCHOOL,Minnesota,MN ,2700186,7-Independent Charter District,438,34.19,7022000,88000,6012000,922000,7380000
AFTON,Oklahoma,OK ,4002520,1-Regular local school district that is NOT a component of a supervisory union,458,35.29,5434000,1442000,2993000,999000,5522000
AFTON CENTRAL SCHOOL DISTRICT,New York,NY ,3602400,1-Regular local school district that is NOT a component of a supervisory union,488,59.01,17213000,4304000,11553000,1356000,17393000
AGAMIM CLASSICAL ACADEMY,Minnesota,MN ,2700394,7-Independent Charter District,314,20.00,5131000,289000,4412000,430000,4904000
AGAR-BLUNT-ONIDA SCHOOL DISTRICT 58-3,South Dakota,SD ,4600042,1-Regular local school district that is NOT a component of a supervisory union,268,29.43,5597000,4758000,231000,608000,5259000
AGATE SCHOOL DISTRICT NO. 300,Colorado,CO ,0801980,1-Regular local school district that is NOT a component of a supervisory union,73,10.55,1508000,487000,800000,221000,1315000
AGAWAM,Massachusetts,MA ,2501800,1-Regular local school district that is NOT a component of a supervisory union,3508,305.86,77785000,45860000,29050000,2875000,79018000
AGBU ALEX-MARIE MANOOGIAN SCHOOL,Michigan,MI ,2600106,7-Independent Charter District,373,24.10,3977000,101000,3703000,173000,3858000
AGNES J. JOHNSON CHARTER DISTRICT,CALIFORNIA,CA ,0602543,7-Independent Charter District,98,4.00,1080000,687000,357000,36000,822000
AGORA CYBER CS,Pennsylvania,PA ,4200140,7-Independent Charter District,7345,414.44,123843000,118565000,470000,4808000,105241000
AGRA,Oklahoma,OK ,4002550,1-Regular local school district that is NOT a component of a supervisory union,321,17.02,3900000,1103000,1818000,979000,3225000
AGUA DULCE ISD,Texas,TX ,4807530,1-Regular local school district that is NOT a component of a supervisory union,406,33.50,6459000,2546000,3501000,412000,5443000
AGUA FRIA UNION HIGH SCHOOL DISTRICT (4289),Arizona,AZ ,0400450,1-Regular local school district that is NOT a component of a supervisory union,8403,436.30,96666000,51614000,37607000,7445000,98728000
AGUILA ELEMENTARY DISTRICT (4249),Arizona,AZ ,0400480,1-Regular local school district that is NOT a component of a supervisory union,137,9.04,2604000,760000,1343000,501000,2495000
AGUILAR REORGANIZED SCHOOL DISTRICT NO. 6,Colorado,CO ,0802010,1-Regular local school district that is NOT a component of a supervisory union,100,8.54,2878000,654000,1354000,870000,2546000
AGWSR COMM SCHOOL DISTRICT,Iowa,IA ,1903060,1-Regular local school district that is NOT a component of a supervisory union,699,50.76,11400000,6199000,4354000,847000,10559000
AHFACHKEE DAY SCHOOL,Bureau of Indian Education,BI ,5900092,1-Regular local school district that is NOT a component of a supervisory union,148,28.00,†,†,†,†,†
AHSTW COMM SCHOOL DISTRICT,Iowa,IA ,1904080,1-Regular local school district that is NOT a component of a supervisory union,735,55.08,12802000,6422000,5248000,1132000,10197000
AIBT NON-PROFIT CHARTER HIGH SCHOOL - PHOENIX (79053),Arizona,AZ ,0400274,7-Independent Charter District,93,–,1347000,109000,939000,299000,685000
AIBT NON-PROFIT CHARTER HIGH SCHOOL INC. (449790),ARIZONA,AZ ,0400970,7-Independent Charter District,15,–,192000,0,137000,55000,43000
AIKEN 01,South Carolina,SC ,4500720,1-Regular local school district that is NOT a component of a supervisory union,22538,1529.56,323326000,124963000,151870000,46493000,345952000
AINSWORTH COMMUNITY SCHOOLS,Nebraska,NE ,3102790,1-Regular local school district that is NOT a component of a supervisory union,415,45.40,8853000,7009000,1127000,717000,8791000
AIRLINE CSD,Maine,ME ,2302500,1-Regular local school district that is NOT a component of a supervisory union,47,4.90,1205000,740000,317000,148000,1130000
AIRPORT COMMUNITY SCHOOLS,Michigan,MI ,2601980,1-Regular local school district that is NOT a component of a supervisory union,2605,142.66,35854000,8004000,23711000,4139000,33274000
AITKIN PUBLIC SCHOOL DISTRICT,Minnesota,MN ,2702760,1-Regular local school district that is NOT a component of a supervisory union,1121,79.62,16345000,3058000,11276000,2011000,16147000
AJO UNIFIED DISTRICT (4409),Arizona,AZ ,0400520,1-Regular local school district that is NOT a component of a supervisory union,356,23.62,4875000,1665000,2366000,844000,4499000
AKILI ACADEMY OF NEW ORLEANS,LOUISIANA,LA ,2200208,7-Independent Charter District,596,39.00,9042000,3835000,3599000,1608000,9010000
AKIMEL O OTHAM PEE POSH CHARTER SCHOOL INC. (5978),Arizona,AZ ,0400403,7-Independent Charter District,17,–,271000,0,110000,161000,225000
AKIMEL O'OTHAM PEE POSH CHARTER SCHOOL INC. (78966),Arizona,AZ ,0400404,7-Independent Charter District,7,†,594000,0,61000,533000,145000
AKIN CCSD 91,Illinois,IL ,1703210,1-Regular local school district that is NOT a component of a supervisory union,108,–,2688000,1626000,945000,117000,2142000
AKRON CENTRAL SCHOOL DISTRICT,New York,NY ,3602430,1-Regular local school district that is NOT a component of a supervisory union,1298,114.91,34202000,10575000,21031000,2596000,35378000
AKRON CITY,Ohio,OH ,3904348,1-Regular local school district that is NOT a component of a supervisory union,20563,1494.37,417772000,139181000,223646000,54945000,434473000
AKRON PREPARATORY SCHOOL,Ohio,OH ,3901503,7-Independent Charter District,366,14.00,4433000,292000,3280000,861000,3847000
AKRON SCHOOL DISTRICT NO. R-1,Colorado,CO ,0802040,1-Regular local school district that is NOT a component of a supervisory union,392,37.07,5951000,2211000,2971000,769000,5677000
AKRON WESTFIELD COMM SCHOOL DISTRICT,Iowa,IA ,1903220,1-Regular local school district that is NOT a component of a supervisory union,589,49.66,9636000,3649000,4963000,1024000,9573000
AKRON-FAIRGROVE SCHOOLS,Michigan,MI ,2602010,1-Regular local school district that is NOT a component of a supervisory union,340,18.06,6024000,2302000,2398000,1324000,8849000
AKROS MIDDLE SCHOOL,Ohio,OH ,3901428,7-Independent Charter District,119,7.80,1827000,213000,1165000,449000,1663000
AL INST DEAF AND BLIND,Alabama,AL ,0100009,5-State agency providing elementary and/or secondary level instruction,–,0.00,†,†,†,†,†
ALABAMA CLINICAL SCHOOLS,Alabama,AL ,0100183,5-State agency providing elementary and/or secondary level instruction,†,0.00,†,†,†,†,†
ALABAMA SCHOOL OF FINE ARTS,Alabama,AL ,0100018,5-State agency providing elementary and/or secondary level instruction,–,0.00,†,†,†,†,†
ALABAMA YOUTH SERVICES,Alabama,AL ,0100002,1-Regular local school district that is NOT a component of a supervisory union,–,0.00,–,–,–,–,–
ALABASTER CITY,Alabama,AL ,0100190,1-Regular local school district that is NOT a component of a supervisory union,6187,354.38,86112000,33119000,44846000,8147000,82373000
ALACHUA,Florida,FL ,1200030,1-Regular local school district that is NOT a component of a supervisory union,28300,1597.53,356923000,151297000,145542000,60084000,414980000
ALAIN LEROY LOCKE COLLEGE PREPARATORY ACADEMY DISTRICT,CALIFORNIA,CA ,0602092,7-Independent Charter District,1386,71.31,22587000,5186000,14119000,3282000,17529000
ALAMANCE COMMUNITY SCHOOL,NORTH CAROLINA,NC ,3700467,7-Independent Charter District,340,17.79,3122000,687000,2161000,274000,2953000
ALAMANCE-BURLINGTON SCHOOLS,North Carolina,NC ,3700030,1-Regular local school district that is NOT a component of a supervisory union,21931,1502.24,234737000,48307000,153406000,33024000,244917000
ALAMEDA CNTY. STUDENT EXCHANGE PROG.,California,CA ,0601355,4-Regional Education Service Agency (RESA),†,†,†,†,†,†,†
ALAMEDA COMMUNITY LEARNING CENTER DISTRICT,CALIFORNIA,CA ,0601664,7-Independent Charter District,358,15.44,4103000,1748000,2146000,209000,4128000
ALAMEDA COUNTY OFFICE OF EDUCATION,California,CA ,0691051,1-Regular local school district that is NOT a component of a supervisory union,289,17.75,71141000,47804000,19464000,3873000,46646000
ALAMEDA UNIFIED,California,CA ,0601770,1-Regular local school district that is NOT a component of a supervisory union,9071,413.35,170832000,88535000,70407000,11890000,168103000
ALAMO,Tennessee,TN ,4700030,1-Regular local school district that is NOT a component of a supervisory union,594,41.00,6091000,673000,4585000,833000,5814000
ALAMO HEIGHTS ISD,Texas,TX ,4807590,1-Regular local school district that is NOT a component of a supervisory union,4846,354.58,69715000,59892000,4493000,5330000,118826000
ALAMO NAVAJO COMMUNITY SCHOOL,Bureau of Indian Education,BI ,5900046,1-Regular local school district that is NOT a component of a supervisory union,298,36.00,†,†,†,†,†
ALAMOGORDO PUBLIC SCHOOLS,New Mexico,NM ,3500030,1-Regular local school district that is NOT a component of a supervisory union,5572,322.42,70704000,8997000,48079000,13628000,72758000
ALAMOSA SCHOOL DISTRICT NO. RE-11J,Colorado,CO ,0802070,1-Regular local school district that is NOT a component of a supervisory union,2176,133.84,30576000,7236000,16032000,7308000,25579000
ALANSON PUBLIC SCHOOLS,Michigan,MI ,2621810,1-Regular local school district that is NOT a component of a supervisory union,210,16.01,3872000,2322000,791000,759000,3537000
ALASKA GATEWAY SCHOOL DISTRICT,Alaska,AK ,0200050,1-Regular local school district that is NOT a component of a supervisory union,407,32.05,15697000,230000,11088000,4379000,17266000
ALBA PUBLIC SCHOOLS,Michigan,MI ,2602040,1-Regular local school district that is NOT a component of a supervisory union,111,7.60,1847000,897000,650000,300000,1483000
ALBA-GOLDEN ISD,Texas,TX ,4807650,1-Regular local school district that is NOT a component of a supervisory union,861,82.71,11674000,4054000,6715000,905000,11765000
ALBANY CITY SCHOOL DISTRICT,New York,NY ,3602460,1-Regular local school district that is NOT a component of a supervisory union,8501,642.41,280409000,134521000,126924000,18964000,288434000
ALBANY CITY UNIFIED,California,CA ,0601860,1-Regular local school district that is NOT a component of a supervisory union,3501,166.07,81188000,27498000,44237000,9453000,101523000
ALBANY COUNTY SCHOOL DISTRICT #1,Wyoming,WY ,5600730,1-Regular local school district that is NOT a component of a supervisory union,3917,365.90,78711000,21716000,48483000,8512000,76776000
ALBANY ISD,Texas,TX ,4807680,1-Regular local school district that is NOT a component of a supervisory union,503,43.22,6594000,3540000,2576000,478000,5917000
ALBANY LEADERSHIP CHARTER SCHOOL FOR GIRLS,New York,NY ,3601006,7-Independent Charter District,285,‡,0,0,0,0,4849000
ALBANY PUBLIC SCHOOL DISTRICT,Minnesota,MN ,2702930,1-Regular local school district that is NOT a component of a supervisory union,1786,100.70,26220000,5886000,18097000,2237000,26683000
ALBANY R-III,Missouri,MO ,2902970,1-Regular local school district that is NOT a component of a supervisory union,457,35.75,5371000,2620000,1511000,1240000,4941000
ALBANY SCHOOL DISTRICT,New Hampshire,NH ,3301350,2-Local school district that is a component of a supervisory union,†,†,1780000,919000,801000,60000,1846000
ALBANY SCHOOL DISTRICT,Wisconsin,WI ,5500120,1-Regular local school district that is NOT a component of a supervisory union,314,34.67,7448000,3433000,3569000,446000,8157000
ALBANY-SCHOHARIE-SCHENECTADY-SARATOGA BOCES,New York,NY ,3680100,4-Regional Education Service Agency (RESA),0,128.50,†,†,†,†,†
ALBEMARLE COUNTY PUBLIC SCHOOLS,Virginia,VA ,5100090,1-Regular local school district that is NOT a component of a supervisory union,13499,1041.25,308133000,232065000,61700000,14368000,229942000
ALBERS SD 63,Illinois,IL ,1703270,1-Regular local school district that is NOT a component of a supervisory union,176,–,2200000,932000,1143000,125000,2283000
ALBERT CITY-TRUESDALE COMM SCHOOL DISTRICT,Iowa,IA ,1900031,1-Regular local school district that is NOT a component of a supervisory union,117,12.13,3833000,1923000,1572000,338000,2850000
ALBERT EINSTEIN ACADEMY CHARTER ELEMENTARY DISTRICT,CALIFORNIA,CA ,0602409,7-Independent Charter District,801,33.00,9574000,6110000,2538000,926000,8604000
ALBERT EINSTEIN ACADEMY CHARTER MIDDLE DISTRICT,CALIFORNIA,CA ,0601896,7-Independent Charter District,601,29.05,7544000,4519000,2194000,831000,7358000
ALBERT EINSTEIN ACADEMY FOR LETTERS ARTS AND SCIENCES-OHIO,Ohio,OH ,3901539,7-Independent Charter District,369,33.00,4376000,104000,3719000,553000,4357000
ALBERT GALLATIN AREA SD,Pennsylvania,PA ,4202100,1-Regular local school district that is NOT a component of a supervisory union,3088,211.60,57272000,13610000,38591000,5071000,55097000
ALBERT LEA PUBLIC SCHOOL DISTRICT,Minnesota,MN ,2702970,1-Regular local school district that is NOT a component of a supervisory union,3500,233.20,59010000,10587000,42886000,5537000,59314000
ALBERTON K-12 SCHOOLS,Montana,MT ,3001860,1-Regular local school district that is NOT a component of a supervisory union,160,17.56,2708000,1155000,1172000,381000,2674000
ALBERTVILLE CITY,Alabama,AL ,0100005,1-Regular local school district that is NOT a component of a supervisory union,5842,301.50,74420000,16482000,47611000,10327000,59207000
ALBIA COMM SCHOOL DISTRICT,Iowa,IA ,1903270,1-Regular local school district that is NOT a component of a supervisory union,1192,75.89,16221000,4923000,9674000,1624000,17277000
ALBION,Oklahoma,OK ,4002580,1-Regular local school district that is NOT a component of a supervisory union,61,4.57,835000,280000,401000,154000,738000
ALBION CENTRAL SCHOOL DISTRICT,New York,NY ,3602520,1-Regular local school district that is NOT a component of a supervisory union,1826,133.00,39684000,7372000,29651000,2661000,33843000
ALBUQUERQUE BILINGUAL ACADEMY,New Mexico,NM ,3500134,7-Independent Charter District,395,24.00,5671000,445000,4650000,576000,5023000
ALBUQUERQUE COLLEGIATE CHARTER SCHOOL,NEW MEXICO,NM ,3500181,7-Independent Charter District,131,11.00,2023000,33000,1764000,226000,1655000
ALBUQUERQUE INSTITUTE OF MATH & SCIENCE,New Mexico,NM ,3500130,7-Independent Charter District,382,19.50,4076000,455000,3582000,39000,3534000
ALBUQUERQUE PUBLIC SCHOOLS,New Mexico,NM ,3500060,1-Regular local school district that is NOT a component of a supervisory union,83031,6050.39,1169123000,214948000,853963000,100212000,1201928000
ALBURG SCHOOL DISTRICT,Vermont,VT ,5001770,2-Local school district that is a component of a supervisory union,193,22.00,7070000,98000,6963000,9000,6332000
ALBURNETT COMM SCHOOL DISTRICT,Iowa,IA ,1903300,1-Regular local school district that is NOT a component of a supervisory union,706,51.71,10325000,5705000,3850000,770000,9962000
ALCESTER-HUDSON SCHOOL DISTRICT 61-1,South Dakota,SD ,4600028,1-Regular local school district that is NOT a component of a supervisory union,369,30.41,5684000,3324000,1610000,750000,5071000
ALCOA,Tennessee,TN ,4700060,1-Regular local school district that is NOT a component of a supervisory union,2137,135.83,27671000,14505000,9917000,3249000,27528000
ALCONA COMMUNITY SCHOOLS,Michigan,MI ,2602160,1-Regular local school district that is NOT a component of a supervisory union,660,55.11,10421000,6655000,2250000,1516000,10142000
ALCORN SCHOOL DIST,Mississippi,MS ,2800390,1-Regular local school district that is NOT a component of a supervisory union,3146,245.41,36301000,9878000,18533000,7890000,36788000
ALDEN CENTRAL SCHOOL DISTRICT,New York,NY ,3602550,1-Regular local school district that is NOT a component of a supervisory union,1485,114.49,35870000,17338000,16732000,1800000,42055000
ALDEN COMM SCHOOL DISTRICT,Iowa,IA ,1900032,1-Regular local school district that is NOT a component of a supervisory union,169,18.09,3975000,1659000,2016000,300000,3947000
ALDEN HEBRON SD 19,Illinois,IL ,1703300,1-Regular local school district that is NOT a component of a supervisory union,377,–,9633000,5352000,3728000,553000,8504000
ALDEN-CONGER PUBLIC SCHOOL DISTRICT,Minnesota,MN ,2703030,1-Regular local school district that is NOT a component of a supervisory union,469,36.31,7137000,1578000,5081000,478000,7532000
ALDER ELEM,Montana,MT ,3017460,1-Regular local school district that is NOT a component of a supervisory union,30,3.00,385000,182000,116000,87000,407000
ALDER GROVE CHARTER SCHOOL 2 DISTRICT,CALIFORNIA,CA ,0602072,7-Independent Charter District,472,23.61,6015000,598000,5148000,269000,4706000
ALDINE ISD,Texas,TX ,4807710,1-Regular local school district that is NOT a component of a supervisory union,63302,4243.82,884055000,302130000,430353000,151572000,818824000
ALDO LEOPOLD CHARTER,New Mexico,NM ,3500138,7-Independent Charter District,167,16.47,2622000,143000,2332000,147000,2955000
ALEDO ISD,Texas,TX ,4807780,1-Regular local school district that is NOT a component of a supervisory union,6723,407.30,86907000,64769000,18614000,3524000,141512000
ALEGENT/IMMANUEL RTC,Nebraska,NE ,3100181,8-Other education agencies,–,2.00,–,–,–,–,–
ALEUTIAN REGION SCHOOL DISTRICT,Alaska,AK ,0200010,1-Regular local school district that is NOT a component of a supervisory union,25,4.00,1723000,57000,1550000,116000,2368000
ALEUTIANS EAST BOROUGH SCHOOL DISTRICT,Alaska,AK ,0200007,1-Regular local school district that is NOT a component of a supervisory union,228,29.00,10708000,1466000,6258000,2984000,10577000
ALEX,Oklahoma,OK ,4002670,1-Regular local school district that is NOT a component of a supervisory union,288,20.47,8501000,6101000,1387000,1013000,8141000
