ELSI Export

National Center for Education Statistics - http://nces.ed.gov/ccd/elsi/

This is a District based table with the following filters applied: State(s) (All Years): All 50 + DC and outlying territories

Agency Name,State Name [District] Latest available year,State Abbr [District] Latest available year,Agency ID - NCES Assigned [District] Latest available year,Agency Type [District] 2022-23,Total Students All Grades (Excludes AE) [District] 2022-23,Full-Time Equivalent (FTE) Teachers [District] 2022-23
LAKEVIEW SD,Pennsylvania,PA ,4213080,1-Regular local school district that is NOT a component of a supervisory union,847,107.90
LAKEVILLE AREA SCHOOLS,Minnesota,MN ,2717780,1-Regular local school district that is NOT a component of a supervisory union,11819,742.59
LAKEVILLE COMMUNITY SCHOOL DISTRICT,Michigan,MI ,2620940,1-Regular local school district that is NOT a component of a supervisory union,1071,62.76
LAKEVILLE PUBLIC SCHOOLS,Maine,ME ,2307200,1-Regular local school district that is NOT a component of a supervisory union,2,0.00
LAKEWOOD CITY,Ohio,OH ,3904419,1-Regular local school district that is NOT a component of a supervisory union,4362,281.77
LAKEWOOD LOCAL,Ohio,OH ,3904799,1-Regular local school district that is NOT a component of a supervisory union,1661,104.24
LAKEWOOD PUBLIC SCHOOLS,Michigan,MI ,2620980,1-Regular local school district that is NOT a component of a supervisory union,1653,83.06
LAKEWOOD SCHOOL DISTRICT,Washington,WA ,5304260,1-Regular local school district that is NOT a component of a supervisory union,2627,139.86
LAKEWOOD TOWNSHIP SCHOOL DISTRICT,New Jersey,NJ ,3408220,1-Regular local school district that is NOT a component of a supervisory union,5023,484.00
LAKIN,Kansas,KS ,2008280,1-Regular local school district that is NOT a component of a supervisory union,654,44.50
LAKOTA 66,North Dakota,ND ,3810600,1-Regular local school district that is NOT a component of a supervisory union,184,23.00
LAKOTA LOCAL,Ohio,OH ,3904956,1-Regular local school district that is NOT a component of a supervisory union,1012,55.50
LAKOTA LOCAL,Ohio,OH ,3904611,1-Regular local school district that is NOT a component of a supervisory union,17721,704.92
LAMAD ACADEMY CHARTER SCHOOL,NEW YORK,NY ,3601224,7-Independent Charter District,187,0.00
LAMAR CISD,Texas,TX ,4826580,1-Regular local school district that is NOT a component of a supervisory union,42461,2375.20
LAMAR COUNTY,Alabama,AL ,0101950,1-Regular local school district that is NOT a component of a supervisory union,2201,125.50
LAMAR COUNTY,Georgia,GA ,1303210,1-Regular local school district that is NOT a component of a supervisory union,2820,174.50
LAMAR COUNTY SCHOOL DISTRICT,Mississippi,MS ,2802400,1-Regular local school district that is NOT a component of a supervisory union,10276,806.24
LAMAR R-I,Missouri,MO ,2917850,1-Regular local school district that is NOT a component of a supervisory union,1227,105.08
LAMAR SCHOOL DISTRICT,Arkansas,AR ,0508700,1-Regular local school district that is NOT a component of a supervisory union,1284,116.52
LAMAR SCHOOL DISTRICT NO. RE-2,Colorado,CO ,0805220,1-Regular local school district that is NOT a component of a supervisory union,1522,95.76
LAMBERT ELEM,Montana,MT ,3015990,1-Regular local school district that is NOT a component of a supervisory union,79,10.87
LAMBERT H S,Montana,MT ,3016020,1-Regular local school district that is NOT a component of a supervisory union,43,7.23
LAME DEER ELEM,Montana,MT ,3016050,1-Regular local school district that is NOT a component of a supervisory union,382,25.91
LAME DEER H S,Montana,MT ,3000095,1-Regular local school district that is NOT a component of a supervisory union,169,10.25
LAMESA ISD,Texas,TX ,4826610,1-Regular local school district that is NOT a component of a supervisory union,1588,105.57
LAMMERSVILLE JOINT UNIFIED,California,CA ,0601410,1-Regular local school district that is NOT a component of a supervisory union,7520,313.73
LAMOILLE NORTH MODIFIED UNION SCHOOL DISTRICT #058A,VERMONT,VT ,5000401,2-Local school district that is a component of a supervisory union,629,69.40
LAMOILLE NORTH MODIFIED UNION SCHOOL DISTRICT #058B,VERMONT,VT ,5000397,2-Local school district that is a component of a supervisory union,748,82.00
LAMOILLE NORTH SUPERVISORY UNION,Vermont,VT ,5099925,3-Supervisory union administrative center (or county superintendent's office serving the same purpose),†,21.86
LAMOILLE SOUTH SUPERVISORY UNION,Vermont,VT ,5099926,3-Supervisory union administrative center (or county superintendent's office serving the same purpose),†,5.60
LAMOILLE SOUTH UNIFIED UNION SCHOOL DISTRICT #90,VERMONT,VT ,5000448,2-Local school district that is a component of a supervisory union,1609,131.20
LAMOINE PUBLIC SCHOOLS,Maine,ME ,2307250,1-Regular local school district that is NOT a component of a supervisory union,131,12.40
LAMONI COMM SCHOOL DISTRICT,Iowa,IA ,1916320,1-Regular local school district that is NOT a component of a supervisory union,380,26.57
LAMONT ELEMENTARY,California,CA ,0620850,1-Regular local school district that is NOT a component of a supervisory union,2696,130.43
LAMONT SCHOOL DISTRICT,Washington,WA ,5304290,1-Regular local school district that is NOT a component of a supervisory union,28,4.00
LAMOTTE ELEM,Montana,MT ,3016110,1-Regular local school district that is NOT a component of a supervisory union,52,6.60
LAMOURE 8,North Dakota,ND ,3810740,1-Regular local school district that is NOT a component of a supervisory union,260,30.50
LAMPASAS ISD,Texas,TX ,4826640,1-Regular local school district that is NOT a component of a supervisory union,3567,261.43
LAMPETER-STRASBURG SD,Pennsylvania,PA ,4213110,1-Regular local school district that is NOT a component of a supervisory union,2832,184.30
LAMPHERE PUBLIC SCHOOLS,Michigan,MI ,2621120,1-Regular local school district that is NOT a component of a supervisory union,2341,152.11
LANCASTER 01,South Carolina,SC ,4502580,1-Regular local school district that is NOT a component of a supervisory union,15114,989.17
LANCASTER CENTRAL SCHOOL DISTRICT,New York,NY ,3616680,1-Regular local school district that is NOT a component of a supervisory union,5459,428.51
LANCASTER CITY,Ohio,OH ,3904420,1-Regular local school district that is NOT a component of a supervisory union,6263,303.68
LANCASTER COMMUNITY SCHOOL DISTRICT,Wisconsin,WI ,5507770,1-Regular local school district that is NOT a component of a supervisory union,991,79.18
LANCASTER COUNTY CTC,Pennsylvania,PA ,4280270,9-Specialized public school district,43,62.00
LANCASTER COUNTY PUBLIC SCHOOLS,Virginia,VA ,5102160,1-Regular local school district that is NOT a component of a supervisory union,1039,77.00
LANCASTER ELEMENTARY,California,CA ,0620880,1-Regular local school district that is NOT a component of a supervisory union,14001,574.85
LANCASTER ISD,Texas,TX ,4826670,1-Regular local school district that is NOT a component of a supervisory union,7032,443.34
LANCASTER PUBLIC SCHOOL DISTRICT,Minnesota,MN ,2717880,1-Regular local school district that is NOT a component of a supervisory union,181,16.81
LANCASTER SD,Pennsylvania,PA ,4213140,1-Regular local school district that is NOT a component of a supervisory union,10075,838.30
LANCASTER-LEBANON IU 13,Pennsylvania,PA ,4289230,4-Regional Education Service Agency (RESA),830,327.93
LANDAFF SCHOOL DISTRICT,New Hampshire,NH ,3304170,1-Regular local school district that is NOT a component of a supervisory union,29,2.40
LANDER COUNTY SCHOOL DISTRICT,Nevada,NV ,3200240,1-Regular local school district that is NOT a component of a supervisory union,1059,46.50
LANDMARK ACADEMY,Michigan,MI ,2600220,7-Independent Charter District,850,47.90
LANE,Oklahoma,OK ,4017040,1-Regular local school district that is NOT a component of a supervisory union,262,16.78
LANE ESD,Oregon,OR ,4100032,4-Regional Education Service Agency (RESA),0,34.58
LANESBORO PUBLIC SCHOOL DISTRICT,Minnesota,MN ,2717910,1-Regular local school district that is NOT a component of a supervisory union,434,23.34
LANESVILLE COMMUNITY SCHOOL CORP,Indiana,IN ,1803720,1-Regular local school district that is NOT a component of a supervisory union,744,42.00
LANETT CITY,Alabama,AL ,0101980,1-Regular local school district that is NOT a component of a supervisory union,963,57.00
LANEVILLE ISD,Texas,TX ,4826700,1-Regular local school district that is NOT a component of a supervisory union,150,15.63
LANGDON AREA 23,North Dakota,ND ,3810810,1-Regular local school district that is NOT a component of a supervisory union,415,40.00
LANGFORD AREA 45-5,South Dakota,SD ,4640860,1-Regular local school district that is NOT a component of a supervisory union,242,23.51
LANGSTON HUGHES CHARTER ACADEMY,LOUISIANA,LA ,2200206,7-Independent Charter District,796,28.45
LANGTREE CHARTER ACADEMY,North Carolina,NC ,3700331,7-Independent Charter District,1531,94.37
LANIER CHARTER SCHOOL,LOUISIANA,LA ,2200226,7-Independent Charter District,193,19.19
LANIER COUNTY,Georgia,GA ,1303240,1-Regular local school district that is NOT a component of a supervisory union,1722,120.10
LANSING,Kansas,KS ,2008340,1-Regular local school district that is NOT a component of a supervisory union,2654,177.00
LANSING CENTRAL SCHOOL DISTRICT,New York,NY ,3616710,1-Regular local school district that is NOT a component of a supervisory union,1178,110.80
LANSING CHARTER ACADEMY,Michigan,MI ,2600959,7-Independent Charter District,451,27.05
LANSING PUBLIC SCHOOL DISTRICT,Michigan,MI ,2621150,1-Regular local school district that is NOT a component of a supervisory union,10023,587.89
LANSING SD 158,Illinois,IL ,1722020,1-Regular local school district that is NOT a component of a supervisory union,2517,160.93
LANSINGBURGH CENTRAL SCHOOL DISTRICT,New York,NY ,3616740,1-Regular local school district that is NOT a component of a supervisory union,2130,219.00
LAONA SCHOOL DISTRICT,Wisconsin,WI ,5507830,1-Regular local school district that is NOT a component of a supervisory union,292,20.96
LAPEER COMMUNITY SCHOOLS,Michigan,MI ,2621180,1-Regular local school district that is NOT a component of a supervisory union,4386,233.15
LAPEER ISD,Michigan,MI ,2680660,9-Specialized public school district,242,38.35
LAPORTE COMMUNITY SCHOOL CORP,Indiana,IN ,1805580,1-Regular local school district that is NOT a component of a supervisory union,6227,414.00
LAPORTE PUBLIC SCHOOL DISTRICT,Minnesota,MN ,2717940,1-Regular local school district that is NOT a component of a supervisory union,347,27.53
LAPOYNOR ISD,Texas,TX ,4826220,1-Regular local school district that is NOT a component of a supervisory union,491,44.08
LAPWAI DISTRICT,Idaho,ID ,1601830,1-Regular local school district that is NOT a component of a supervisory union,519,37.96
LAQUEY R-V,Missouri,MO ,2917880,1-Regular local school district that is NOT a component of a supervisory union,788,52.90
LARAMIE COUNTY SCHOOL DISTRICT #1,Wyoming,WY ,5601980,1-Regular local school district that is NOT a component of a supervisory union,13821,1017.31
LARAMIE COUNTY SCHOOL DISTRICT #2,Wyoming,WY ,5604120,1-Regular local school district that is NOT a component of a supervisory union,1094,94.60
LARAWAY CCSD 70C,Illinois,IL ,1722050,1-Regular local school district that is NOT a component of a supervisory union,437,46.00
LARCHMONT CHARTER DISTRICT,CALIFORNIA,CA ,0601904,7-Independent Charter District,1620,70.89
LAREDO ISD,Texas,TX ,4826790,1-Regular local school district that is NOT a component of a supervisory union,20932,1415.98
LAREDO R-VII,Missouri,MO ,2917910,1-Regular local school district that is NOT a component of a supervisory union,47,7.50
LARIMER R-1 POUDRE AU,Colorado,CO ,0800249,4-Regional Education Service Agency (RESA),†,†
LARIMER R-2J THOMPSON AU,Colorado,CO ,0800251,4-Regional Education Service Agency (RESA),†,†
LARIMER R-3 PARK AU,Colorado,CO ,0800267,4-Regional Education Service Agency (RESA),†,†
LARIMORE 44,North Dakota,ND ,3810860,1-Regular local school district that is NOT a component of a supervisory union,390,32.50
LARKSPUR-CORTE MADERA,California,CA ,0620910,1-Regular local school district that is NOT a component of a supervisory union,1262,65.84
LARUE COUNTY,Kentucky,KY ,2103180,1-Regular local school district that is NOT a component of a supervisory union,2393,152.00
LAS AMERICAS ASPIRA ACADEMY,Delaware,DE ,1000050,7-Independent Charter District,1341,88.80
LAS ANIMAS SCHOOL DISTRICT NO. RE-1,Colorado,CO ,0805250,1-Regular local school district that is NOT a component of a supervisory union,822,40.15
LAS CRUCES PUBLIC SCHOOLS,New Mexico,NM ,3501500,1-Regular local school district that is NOT a component of a supervisory union,23631,1513.04
LAS LOMITAS ELEMENTARY,California,CA ,0622380,1-Regular local school district that is NOT a component of a supervisory union,1151,66.68
LAS MONTANAS CHARTER,NEW MEXICO,NM ,3500168,7-Independent Charter District,162,13.00
LAS VEGAS CITY PUBLIC SCHOOLS,New Mexico,NM ,3501530,1-Regular local school district that is NOT a component of a supervisory union,1202,83.46
LAS VIRGENES UNIFIED,California,CA ,0621000,1-Regular local school district that is NOT a component of a supervisory union,9732,416.23
LASALLE PARISH,Louisiana,LA ,2200960,1-Regular local school district that is NOT a component of a supervisory union,2637,173.65
LASALLE PUTNAM ALLIANCE,Illinois,IL ,1700228,9-Specialized public school district,†,11.00
LASARA ISD,Texas,TX ,4826850,1-Regular local school district that is NOT a component of a supervisory union,351,34.62
LASHON ACADEMY CITY DISTRICT,CALIFORNIA,CA ,0602489,7-Independent Charter District,72,3.15
LASHON ACADEMY DISTRICT,CALIFORNIA,CA ,0601955,7-Independent Charter District,526,25.84
LASSEN COUNTY OFFICE OF EDUCATION,California,CA ,0691015,1-Regular local school district that is NOT a component of a supervisory union,13,2.00
LASSEN ROP,California,CA ,0600079,9-Specialized public school district,0,–
LASSEN UNION HIGH,California,CA ,0621060,1-Regular local school district that is NOT a component of a supervisory union,864,43.16
LASSEN VIEW UNION ELEMENTARY,California,CA ,0621090,1-Regular local school district that is NOT a component of a supervisory union,358,15.40
LATEXO ISD,Texas,TX ,4826910,1-Regular local school district that is NOT a component of a supervisory union,497,43.68
LATHROP R-II,Missouri,MO ,2917970,1-Regular local school district that is NOT a component of a supervisory union,929,75.41
LATIN AMERICAN MONTESSORI BILINGUAL PCS,District of Columbia,DC ,1100032,7-Independent Charter District,553,50.20
LATINO COLLEGE PREPARATORY ACADEMY DISTRICT,CALIFORNIA,CA ,0601932,7-Independent Charter District,408,18.00
LATITUDE 37.8 HIGH DISTRICT,CALIFORNIA,CA ,0601514,7-Independent Charter District,282,19.10
LATON JOINT UNIFIED,California,CA ,0621150,1-Regular local school district that is NOT a component of a supervisory union,628,37.14
LATROBE,California,CA ,0621180,1-Regular local school district that is NOT a component of a supervisory union,161,9.00
LATTA,Oklahoma,OK ,4017190,1-Regular local school district that is NOT a component of a supervisory union,889,53.16
LAUDERDALE CO SCHOOL DIST,Mississippi,MS ,2802430,1-Regular local school district that is NOT a component of a supervisory union,5910,451.40
LAUDERDALE COUNTY,Alabama,AL ,0102010,1-Regular local school district that is NOT a component of a supervisory union,8080,465.61
LAUDERDALE COUNTY,Tennessee,TN ,4702310,1-Regular local school district that is NOT a component of a supervisory union,3413,242.16
LAUNCH EXPEDITIONARY LEARNING CHARTER SCHOOL,New York,NY ,3601059,7-Independent Charter District,261,27.00
LAURA JEFFREY ACADEMY CHARTER,Minnesota,MN ,2700292,7-Independent Charter District,80,8.70
LAUREL COUNTY,Kentucky,KY ,2103210,1-Regular local school district that is NOT a component of a supervisory union,8801,500.00
LAUREL ELEM,Montana,MT ,3016200,1-Regular local school district that is NOT a component of a supervisory union,1272,81.58
LAUREL H S,Montana,MT ,3016230,1-Regular local school district that is NOT a component of a supervisory union,619,40.18
LAUREL HIGHLANDS SD,Pennsylvania,PA ,4213320,1-Regular local school district that is NOT a component of a supervisory union,2736,198.50
LAUREL REGIONAL SPECIAL EDUCATION CENTER,Virginia,VA ,5100024,9-Specialized public school district,†,†
LAUREL SCHOOL DISTRICT,Mississippi,MS ,2802460,1-Regular local school district that is NOT a component of a supervisory union,2712,189.11
LAUREL SCHOOL DISTRICT,Delaware,DE ,1000810,1-Regular local school district that is NOT a component of a supervisory union,2598,165.40
